molecule_chembl_id,target_chembl_id,canonical_smiles,pIC50,bioactivity_class
CHEMBL3937351,CHEMBL1957,Cn1cc(-c2ccc(-c3c4c(nn3C)CCc3cnc(Nc5cnn(Cc6ccncc6)c5)nc3-4)cc2)cn1,9.55284196865778,1
CHEMBL3660996,CHEMBL1957,COc1cc(C(=O)NC2CCN(C)CC2)ccc1Nc1ncc2c(n1)-c1c(nn(C)c1-c1sccc1Cl)CC2,9.522878745280337,1
CHEMBL3656608,CHEMBL1957,COc1ccc(-c2c3c(nn2C)CCc2cnc(Nc4ccc(N5CCN(C)CC5)cc4OC)nc2-3)c(Cl)c1,9.522878745280337,1
CHEMBL3902464,CHEMBL1957,CN(C)CCCNC(=O)Cn1ccc(Nc2ncc3c(n2)-c2c(nn(C)c2-c2ccc(-c4cnn(C)c4)cc2)CC3)n1,9.522878745280337,1
CHEMBL458414,CHEMBL1957,COc1cc2c(cc1Nc1nc(Nc3ccoc3C(N)=O)c3cc[nH]c3n1)N(C(=O)CN(C)C)CCC2,9.522878745280337,1
CHEMBL3639555,CHEMBL1957,Cn1cc(Nc2ncc3c(n2)-c2c(nn(C)c2-c2sccc2Cl)CC3)cn1,9.522878745280337,1
CHEMBL476259,CHEMBL1957,CCCN1CCC(c2ccc(Nc3nc(Nc4cc(F)ccc4C(N)=O)c4cc[nH]c4n3)c(OC)c2)CC1,9.522878745280337,1
CHEMBL514873,CHEMBL1957,COc1cc2c(cc1Nc1nc(Nc3ccsc3C(N)=O)c3cc[nH]c3n1)N(C(=O)CN(C)C)CC2,9.522878745280337,1
CHEMBL3656638,CHEMBL1957,CCn1ccc(Nc2ncc3c(n2)-c2c(nn(C)c2-c2sccc2C)CC3)n1,9.522878745280337,1
CHEMBL3946047,CHEMBL1957,CCn1ccc(Nc2ncc3c(n2)-c2c(nn(C)c2-c2ccc(-c4cnn(CCN5CCOCC5)c4)cc2)CC3)n1,9.508638306165727,1
CHEMBL3661005,CHEMBL1957,CCOc1cc(N2CCN(C)CC2)ccc1Nc1ncc2c(n1)-c1c(nn(C)c1Cc1ccccc1)CC2,9.508638306165727,1
CHEMBL3900377,CHEMBL1957,CCCn1cc(-c2cccc(Cc3c4c(nn3C)CCc3cnc(Nc5ccn(CC)n5)nc3-4)c2)cn1,9.508638306165727,1
CHEMBL3941008,CHEMBL1957,CCn1ccc(Nc2ncc3c(n2)-c2c(nn(C)c2-c2ccc(-c4cnn(C)c4)cc2Cl)CC3)n1,9.508638306165727,1
CHEMBL3963245,CHEMBL1957,CC(C)Cn1cc(-c2ccc(-c3c4c(nn3C)CCc3cnc(Nc5ccn(CCN(C)C)n5)nc3-4)cc2)cn1,9.508638306165727,1
CHEMBL3913675,CHEMBL1957,CC(C)n1cc(Nc2ncc3c(n2)-c2c(nn(C)c2-c2ccc(-c4cnn(C)c4)nc2)CC3)cn1,9.508638306165727,1
CHEMBL3922742,CHEMBL1957,COCCn1cc(-c2cccc(Cc3c4c(nn3C)CCc3cnc(Nc5ccn(C)n5)nc3-4)c2)cn1,9.508638306165727,1
CHEMBL3966970,CHEMBL1957,Cn1ccc(Nc2ncc3c(n2)-c2c(nn(C)c2Cc2cccc(-c4cnn(C5CCOCC5)c4)c2)CC3)n1,9.494850021680094,1
CHEMBL3915025,CHEMBL1957,Cn1cc(-c2ccc(-c3c4c(nn3C)CCc3cnc(Nc5ccn(CC(=O)N6CCCC6)n5)nc3-4)cc2)cn1,9.481486060122112,1
CHEMBL3891063,CHEMBL1957,CN(C)S(=O)(=O)N1CCC(n2cc(Nc3ncc4c(n3)-c3c(nn(C)c3-c3ccc(-c5cnn(C)c5)cc3)CC4)cn2)CC1,9.468521082957745,1
CHEMBL3948924,CHEMBL1957,COCCn1ccc(Nc2ncc3c(n2)-c2c(nn(C)c2-c2ccc(-c4cnn(CCN5CCO[C@@H](C)C5)c4)cc2)CC3)n1,9.455931955649724,1
CHEMBL3891342,CHEMBL1957,CCn1ccc(Nc2ncc3c(n2)-c2c(nn(C)c2Cc2cccc(-c4cnn(CC(C)C)c4)c2)CC3)n1,9.455931955649724,1
CHEMBL3975858,CHEMBL1957,CCn1ccc(Nc2ncc3c(n2)-c2c(nn(C)c2-c2ccc(-c4cnn(C(C)C)c4)cc2)CC3)n1,9.455931955649724,1
CHEMBL3922256,CHEMBL1957,CN(C)CCn1cc(Nc2ncc3c(n2)-c2c(nn(C)c2-c2ccc(-c4cnn(C)c4)cc2)CC3)cn1,9.455931955649724,1
CHEMBL509032,CHEMBL1957,COc1cc(N2CCC(N3CCN(C)CC3)CC2)ccc1Nc1ncc(Cl)c(Nc2ccccc2S(=O)(=O)C(C)C)n1,9.455931955649724,1
CHEMBL3914262,CHEMBL1957,Cn1cc(-c2cccc(Cc3c4c(nn3C)CCc3cnc(Nc5ccn(C)n5)nc3-4)c2)cn1,9.443697499232712,1
CHEMBL3936471,CHEMBL1957,COCCn1ccc(Nc2ncc3c(n2)-c2c(nn(C)c2Cc2cccc(-c4cnn(C)c4)c2)CC3)n1,9.443697499232712,1
CHEMBL3940235,CHEMBL1957,CCNC(=O)c1ccc(Nc2ncc3c(n2)-c2c(nn(C)c2-c2ccc(-c4cnn(C)c4)cc2)CC3)c(OC)c1,9.431798275933005,1
CHEMBL3931181,CHEMBL1957,CCn1ccc(Nc2ncc3c(n2)-c2c(nn(C)c2Cc2cccc(-c4cn[nH]c4)c2)CC3)n1,9.431798275933005,1
CHEMBL3968669,CHEMBL1957,COCCNC(=O)c1ccc(Nc2ncc3c(n2)-c2c(nn(C)c2Cc2cccc(-c4cnn(C)c4)c2)CC3)c(OC)c1,9.431798275933005,1
CHEMBL3912328,CHEMBL1957,COCCCn1ccc(Nc2ncc3c(n2)-c2c(nn(C)c2Cc2cccc(-c4cnn(C)c4)c2)CC3)n1,9.431798275933005,1
CHEMBL3911995,CHEMBL1957,COCCn1ccc(Nc2ncc3c(n2)-c2c(nn(C)c2-c2ccc(-c4cnn(CCO)c4)cc2)CC3)n1,9.42021640338319,1
CHEMBL3933022,CHEMBL1957,CCn1ccc(Nc2ncc3c(n2)-c2c(nn(C)c2-c2ccc(-c4cnn(C)c4)cc2)CC3)n1,9.42021640338319,1
CHEMBL3930123,CHEMBL1957,COCCCNC(=O)c1ccc(Nc2ncc3c(n2)-c2c(nn(C)c2-c2ccc(-c4cnn(C)c4)cc2)CC3)c(OC)c1,9.42021640338319,1
CHEMBL3961082,CHEMBL1957,COc1cc(C(=O)NCCN2CCOCC2)ccc1Nc1ncc2c(n1)-c1c(nn(C)c1-c1ccc(-c3cnn(C)c3)cc1)CC2,9.42021640338319,1
CHEMBL3907023,CHEMBL1957,Cn1cc(-c2ccc(-c3c4c(nn3C)CCc3cnc(Nc5cnn(CCN6CCOCC6)c5)nc3-4)cc2)cn1,9.42021640338319,1
CHEMBL3951247,CHEMBL1957,CN(C)CCNC(=O)Cn1ccc(Nc2ncc3c(n2)-c2c(nn(C)c2-c2ccc(-c4cnn(C)c4)cc2)CC3)n1,9.42021640338319,1
CHEMBL3984078,CHEMBL1957,CC(=O)N1CCC(n2cc(Nc3ncc4c(n3)-c3c(nn(C)c3Cc3cccc(-c5cnn(C)c5)c3)CC4)cn2)CC1,9.4089353929735,1
CHEMBL3923532,CHEMBL1957,CNC(=O)Cn1ccc(Nc2ncc3c(n2)-c2c(nn(C)c2-c2ccc(-c4cnn(C)c4)cc2)CC3)n1,9.4089353929735,1
CHEMBL3978615,CHEMBL1957,COc1cc(C(=O)NC[C@@H]2CCCO2)ccc1Nc1ncc2c(n1)-c1c(nn(C)c1-c1ccc(-c3cnn(C)c3)cc1)CC2,9.4089353929735,1
CHEMBL3896951,CHEMBL1957,Cn1cc(-c2ccc(-c3c4c(nn3C)CCc3cnc(Nc5ccn(CC(=O)N6CCOCC6)n5)nc3-4)cc2)cn1,9.4089353929735,1
CHEMBL3947851,CHEMBL1957,CCCn1cc(-c2ccc(-c3c4c(nn3C)CCc3cnc(Nc5ccn(CC(=O)N(C)C)n5)nc3-4)cc2)cn1,9.4089353929735,1
CHEMBL3656609,CHEMBL1957,COc1ccc(-c2c3c(nn2C)CCc2cnc(Nc4ccc(C(=O)NC5CCN(C)CC5)cc4OC)nc2-3)c(Cl)c1,9.397940008672037,1
CHEMBL3656641,CHEMBL1957,COc1ccc(-c2c3c(nn2C)CCc2cnc(Nc4cnn(C5CCN(C(C)=O)CC5)c4)nc2-3)cc1,9.397940008672037,1
CHEMBL3656639,CHEMBL1957,Cn1nc2c(c1-c1sccc1Cl)-c1nc(Nc3ccccc3)ncc1CC2,9.397940008672037,1
CHEMBL3656640,CHEMBL1957,CN(C)C1CCN(CCn2ccc(Nc3ncc4c(n3)-c3c(nn(C)c3-c3ccccc3)CC4)n2)CC1,9.397940008672037,1
CHEMBL477069,CHEMBL1957,CCCN1CCCC(c2ccc(Nc3nc(Nc4cc(F)ccc4C(N)=O)c4cc[nH]c4n3)c(OC)c2)C1,9.397940008672037,1
CHEMBL3823256,CHEMBL1957,COc1cc(P(C)(C)=O)ccc1Nc1ncc(Cl)c(Nc2ccccc2S(C)(=O)=O)n1,9.397940008672037,1
CHEMBL3660997,CHEMBL1957,COc1cc(C(=O)NC2CCN(C)CC2)ccc1Nc1ncc2c(n1)-c1c(nn(C)c1Cc1ccccc1Cl)CC2,9.397940008672037,1
CHEMBL3961022,CHEMBL1957,CCn1cc(-c2ccc(-c3c4c(nn3C)CC(C)c3cnc(Nc5ccn(C)n5)nc3-4)cc2)cn1,9.387216143280265,1
CHEMBL3915991,CHEMBL1957,CC(C)n1cc(-c2ccc(-c3c4c(nn3C)CCc3cnc(Nc5cnn(CCN6CCOCC6)c5)nc3-4)cc2)cn1,9.3767507096021,1
