molecule_chembl_id,canonical_smiles,pIC50,bioactivity_class
CHEMBL94061,CN(C)C/C=C/C(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,9.387216143280265,active
CHEMBL474147,C=CC(=O)NC1=CC=C2N=CN=C(Nc3cccc(C)c3)C21,9.379968104873702,active
CHEMBL522134,C=CC(=O)Nc1ccc2ncnc(Cc3cccc(C)c3)c2c1,9.379968104873702,active
CHEMBL3353410,C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,9.37571790416433,active
CHEMBL336264,C=CS(=O)(=O)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1,9.369979148886591,active
CHEMBL39337,Brc1cccc(Nc2ncnc3cc4[nH]ncc4cc23)c1,9.36001575195841,active
CHEMBL447331,Brc1cccc(Nc2ncnc3cc4c(cc23)CN4)c1,9.36001575195841,active
CHEMBL461797,CN(C)CCCNC(=O)/C=C/C(=O)Cc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,9.36001575195841,active
CHEMBL40734,Brc1cccc(Nc2ncnc3cc4[nH]ccc4cc23)c1,9.356547323513812,active
CHEMBL447850,O=C(/C=C/CC(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1)Nc1ccc2c(Nc3cccc(Br)c3)ncnc2c1,9.349984047528162,active
CHEMBL162821,CNc1cc2c(Nc3cccc(C)c3)ncnc2cn1,9.346787486224656,active
CHEMBL3906546,C=CC(=O)Nc1ccccc1C1CCNc2c(C(N)=O)c(-c3ccc(OC(F)(F)F)cc3)nn21,9.337242168318426,active
CHEMBL3360609,C#Cc1cccc(Nc2ncnc3cc(OCCCCCn4ccnc4[N+](=O)[O-])c(OC)cc23)c1,9.327902142064282,active
CHEMBL3355875,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCCn1ccnc1[N+](=O)[O-],9.327902142064282,active
CHEMBL3818015,COc1cc2ncnc(Nc3cccc(Br)c3)c2cc1NC(=O)[C@@H]1COC(=O)N1,9.327902142064282,active
CHEMBL516022,C=CC(=O)NC1=NC=C2N=CN=C(Nc3cccc(C)c3)C21,9.320027305722581,active
CHEMBL3926191,C=CC(=O)Nc1ccccc1C1CCNc2c(C(N)=O)c(-c3ccc(OC)cc3)nn21,9.318758762624412,active
CHEMBL3355881,C#Cc1cccc(Nc2ncnc3cc(OC)c(OCCCCCn4ccnc4[N+](=O)[O-])cc23)c1,9.309803919971486,active
CHEMBL2021576,O=C(O)[C@H]1O[C@@H]1C(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,9.309803919971486,active
CHEMBL3360617,COc1cc2c(Nc3cccc(Br)c3)ncnc2cc1OCCCn1ccnc1[N+](=O)[O-],9.309803919971486,active
CHEMBL3813876,Fc1ccc(Nc2ncnc3ccc(NC(=S)NCCCN4CCOCC4)cc23)cc1Cl,9.30539480106643,active
CHEMBL3633142,C=CC(=O)Nc1cccc(-n2c(=O)ccc3cnc(Nc4ccc(N5CCN(C)CC5)cc4OC)nc32)c1,9.301029995663981,active
CHEMBL1873475,C=CC(=O)N1CCC[C@@H](n2nc(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1,9.301029995663981,active
CHEMBL3633145,C=CC(=O)Nc1cccc(-n2c(=O)c(Cc3ccccc3)cc3cnc(Nc4ccc(N5CCN(C)CC5)cc4OC)nc32)c1,9.301029995663981,active
CHEMBL3758582,COc1ccc(C(=O)NCCN(C)C)cc1-c1cc2c(N[C@H](C)c3ccccc3)ncnc2s1,9.301029995663981,active
CHEMBL203599,CN1CCN(CCC#CC(=O)Nc2cc3c(Nc4ccc(F)c(Cl)c4)ncnc3cn2)CC1,9.301029995663981,active
CHEMBL2021575,O=C(O)[C@@H]1O[C@H]1C(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,9.301029995663981,active
CHEMBL4101719,OCCCc1nc(-c2ccc(F)cc2)c(-c2ccnc3[nH]c(-c4ccccc4)cc23)[nH]1,9.301029995663981,active
CHEMBL3758770,COc1cc(C(=O)NCCN(C)C)ccc1-c1cc2c(N[C@H](C)c3ccccc3)ncnc2s1,9.301029995663981,active
CHEMBL4082764,NCc1cccc(-c2nc(-c3ccc(F)cc3)c(-c3ccnc4[nH]c(-c5ccccc5)cc34)[nH]2)c1,9.301029995663981,active
CHEMBL1229592,C=CC(=O)Nc1cccc(Oc2nc(Nc3ccc(N4CCN(C)CC4)cc3OC)ncc2Cl)c1,9.301029995663981,active
CHEMBL4080720,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCOP(N)(=O)N(CCCl)CCCl,9.301029995663981,active
CHEMBL3355882,C#Cc1cccc(Nc2ncnc3cc(OC)c(OCCCCCCn4ccnc4[N+](=O)[O-])cc23)c1,9.301029995663981,active
CHEMBL385479,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1OCCCN1CCOCC1,9.301029995663981,active
CHEMBL4279227,C=C=CC(=O)Nc1cc(Nc2nccc(-c3c[nH]c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,9.301029995663981,active
CHEMBL4071474,C=CC(=O)N1CC[C@H](N2C(=O)N(c3ccccc3Cl)Cc3cnc(Nc4ccc(N5CCN(C)CC5)c(C)c4)nc32)C1,9.301029995663981,active
CHEMBL501618,C/C=C/C(=O)Cc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,9.299988937677888,active
CHEMBL2031304,CCOc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)CCN1CCCCC1,9.292429823902063,active
CHEMBL3901296,CN(C)C/C=C/C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OC[C@@]12COC[C@@H]1C2,9.292429823902063,active
CHEMBL3355876,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCCCn1ccnc1[N+](=O)[O-],9.292429823902063,active
CHEMBL2138625,C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1C#CC(C)(C)N1CCN(C)CC1,9.292429823902063,active
CHEMBL126791,Brc1cccc(Nc2ncnc3cc(NCCCn4ccnc4)ncc23)c1,9.292429823902063,active
CHEMBL2031299,O=C(CCN1CCOCC1)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,9.292429823902063,active
CHEMBL4439974,CCOc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)COC(C)=O,9.2839966563652,active
CHEMBL3360604,COc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCCCCn1ccnc1[N+](=O)[O-],9.2839966563652,active
CHEMBL4530170,CCOc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OC(=O)CSc1nnnn1C,9.275724130399212,active
CHEMBL3357643,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)/C(F)=C/CN1CCOCC1,9.275724130399212,active
CHEMBL3355889,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCCn1c([N+](=O)[O-])cnc1C,9.275724130399212,active
CHEMBL446019,C=CC(=O)Nc1cc2ncnc(Nc3cccc(Cl)c3)c2cn1,9.270025714300445,active
CHEMBL4110258,CN(C)CC/C=C/C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OC[C@]12COC[C@H]1C2,9.267606240177031,active
CHEMBL3360611,C#Cc1cccc(Nc2ncnc3cc(OCCOCCn4ccnc4[N+](=O)[O-])c(OC)cc23)c1,9.267606240177031,active
CHEMBL491085,C/C=C/C(=O)Cc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,9.260032303240491,active
CHEMBL3663932,C=CC(=O)Nc1cccc(Oc2nc(Nc3ccc(N4CCN(C)[C@H](C)C4)cc3)c(C(N)=O)nc2CC)c1,9.2518119729938,active
CHEMBL3355880,C#Cc1cccc(Nc2ncnc3cc(OC)c(OCCCCn4ccnc4[N+](=O)[O-])cc23)c1,9.2518119729938,active
CHEMBL460723,O=C(/C=C/C(=O)NCCCn1ccnc1)Cc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,9.250031916490597,active
CHEMBL3360610,C#Cc1cccc(Nc2ncnc3cc(OCCCCCCn4ccnc4[N+](=O)[O-])c(OC)cc23)c1,9.244125144327509,active
